date, reward, step
2017-02-08 11:17:16, -20, 1535
2017-02-08 11:17:19, -20, 1593
2017-02-08 11:17:22, -21, 1313
2017-02-08 11:17:25, -21, 1278
2017-02-08 11:17:25, -19, 1594
2017-02-08 11:17:25, -20, 1486
2017-02-08 11:17:25, -20, 1642
2017-02-08 11:17:29, -18, 1752
2017-02-08 11:17:29, -21, 1359
2017-02-08 11:17:29, -21, 1590
2017-02-08 11:17:31, -20, 1618
2017-02-08 11:17:32, -21, 1316
2017-02-08 11:17:34, -21, 1295
2017-02-08 11:17:34, -21, 1410
2017-02-08 11:17:35, -21, 1262
2017-02-08 11:17:36, -21, 1372
2017-02-08 11:17:36, -20, 1696
2017-02-08 11:17:36, -20, 1638
2017-02-08 11:17:37, -21, 1222
2017-02-08 11:17:38, -18, 1818
2017-02-08 11:17:39, -21, 1329
2017-02-08 11:17:39, -20, 1415
2017-02-08 11:17:40, -20, 1425
2017-02-08 11:17:41, -20, 1584
2017-02-08 11:17:42, -20, 1523
2017-02-08 11:17:42, -21, 1439
2017-02-08 11:17:44, -21, 1492
2017-02-08 11:17:44, -20, 1534
2017-02-08 11:17:48, -21, 1389
2017-02-08 11:17:50, -19, 1799
2017-02-08 11:17:55, -21, 1254
2017-02-08 11:17:56, -21, 1448
2017-02-08 11:17:56, -20, 1482
2017-02-08 11:17:57, -20, 1636
2017-02-08 11:17:58, -21, 1322
2017-02-08 11:17:59, -19, 1536
2017-02-08 11:18:05, -20, 1428
2017-02-08 11:18:06, -21, 1322
2017-02-08 11:18:07, -20, 1487
2017-02-08 11:18:09, -21, 1414
2017-02-08 11:18:09, -21, 1326
2017-02-08 11:18:12, -21, 1535
2017-02-08 11:18:12, -19, 1656
2017-02-08 11:18:12, -21, 1690
2017-02-08 11:18:13, -21, 1222
2017-02-08 11:18:13, -21, 1328
2017-02-08 11:18:13, -20, 1401
2017-02-08 11:18:14, -20, 1341
2017-02-08 11:18:14, -21, 1384
2017-02-08 11:18:16, -21, 1418
2017-02-08 11:18:17, -21, 1352
2017-02-08 11:18:17, -21, 1542
2017-02-08 11:18:17, -20, 1426
2017-02-08 11:18:18, -21, 1313
2017-02-08 11:18:19, -21, 1311
